movie_title,movie_imdb_link,movie_facebook_likes,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,cast_total_facebook_likes
Transformers: Dark of the Moon,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,46000.0,Michael Bay,2200.0,Shia LaBeouf,7500.0,Rosie Huntington-Whiteley,6600.0,Josh Duhamel,6900.0,51508.0
Prince of Persia: The Sands of Time,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,23000.0,Mike Newell,179.0,Jake Gyllenhaal,15000.0,Gemma Arterton,7100.0,Ben Kingsley,3500.0,28968.0
2012,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,14000.0,Roland Emmerich,791.0,John Cusack,5600.0,Amanda Peet,1400.0,Chiwetel Ejiofor,3500.0,24574.0
Skyfall,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,80000.0,Sam Mendes,2200.0,Daniel Craig,8300.0,Judi Dench,3200.0,Javier Bardem,8100.0,37767.0
Jack the Giant Slayer,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,22000.0,Bryan Singer,2300.0,Nicholas Hoult,7600.0,Eleanor Tomlinson,1600.0,Ewan McGregor,6200.0,37195.0
A Christmas Carol,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,7700.0,Robert Zemeckis,1400.0,Jim Carrey,8800.0,Steve Valentine,368.0,Daryl Sabara,644.0,60011.0
Furious 7,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,95000.0,James Wan,2500.0,Vin Diesel,14000.0,Paul Walker,23000.0,Jason Statham,26000.0,114051.0
Green Lantern,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,24000.0,Martin Campbell,265.0,Ryan Reynolds,16000.0,Blake Lively,4600.0,Peter Sarsgaard,1700.0,34647.0
Star Trek Into Darkness,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,92000.0,J.J. Abrams,14000.0,Chris Pine,6600.0,Zachary Quinto,4400.0,Zoe Saldana,8200.0,64249.0
The Good Dinosaur,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,21000.0,Peter Sohn,113.0,Jeffrey Wright,1700.0,Frances McDormand,2500.0,Maleah Nipay-Padilla,4.0,15915.0
The Great Gatsby,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,115000.0,Baz Luhrmann,1000.0,Lisa Adam,4.0,Frank Aldridge,4.0,Amitabh Bachchan,2100.0,38182.0
Pacific Rim,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,83000.0,Guillermo del Toro,7300.0,Charlie Hunnam,16000.0,Diego Klattenhoff,538.0,Idris Elba,8400.0,40400.0
Iron Man,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,10000.0,Jon Favreau,4100.0,Robert Downey Jr.,21000.0,Terrence Howard,2400.0,Jeff Bridges,12000.0,55850.0
Star Trek Beyond,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,39000.0,Justin Lin,684.0,Chris Pine,6600.0,Zachary Quinto,4400.0,Karl Urban,6300.0,50436.0
Indiana Jones and the Kingdom of the Crystal Skull,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,5100.0,Steven Spielberg,14000.0,Harrison Ford,11000.0,Cate Blanchett,6200.0,Karen Allen,821.0,31504.0
Brave,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,39000.0,Mark Andrews,56.0,Kelly Macdonald,2000.0,Billy Connolly,1400.0,Emma Thompson,2300.0,12505.0
World War Z,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,129000.0,Marc Forster,399.0,Brad Pitt,12000.0,Mireille Enos,1000.0,Daniella Kertesz,592.0,37633.0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,5800.0,Andrew Adamson,81.0,Georgie Henley,1500.0,Skandar Keynes,1500.0,William Moseley,1200.0,22620.0
WALLE,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,17000.0,Andrew Stanton,475.0,Ben Burtt,196.0,Elissa Knight,61.0,Jeff Garlin,520.0,9900.0
Rush Hour 3,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,1700.0,Brett Ratner,422.0,Chris Tucker,2400.0,Jackie Chan,6500.0,Max von Sydow,2700.0,14136.0
Maleficent,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,89000.0,Robert Stromberg,171.0,Angelina Jolie,11000.0,Elle Fanning,3700.0,Sharlto Copley,2000.0,23162.0
The Legend of Tarzan,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,35000.0,David Yates,287.0,Alexander Skarsgrd,10000.0,Rory J. Saper,11.0,Christian Stevens,3.0,32991.0
Jupiter Ascending,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,45000.0,Lana Wachowski,1100.0,Mila Kunis,15000.0,Channing Tatum,17000.0,Sean Bean,6400.0,57262.0
Hugo,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,42000.0,Martin Scorsese,17000.0,Ben Kingsley,3500.0,Sacha Baron Cohen,5900.0,Asa Butterfield,3500.0,58141.0
Valerian and the City of a Thousand Planets,http://www.imdb.com/title/tt2239822/?ref_=fn_tt_tt_1,2200.0,Luc Besson,1800.0,Cara Delevingne,607.0,Ethan Hawke,3300.0,John Goodman,3200.0,21218.0
The Dark Knight,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,38000.0,Christopher Nolan,22000.0,Christian Bale,23000.0,Heath Ledger,13000.0,Aaron Eckhart,2500.0,88504.0
X-Men: Apocalypse,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,59000.0,Bryan Singer,2300.0,James McAvoy,8800.0,Michael Fassbender,13000.0,Jennifer Lawrence,34000.0,81003.0
Edge of Tomorrow,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,78000.0,Doug Liman,217.0,Tom Cruise,11000.0,Emily Blunt,5700.0,Brendan Gleeson,1700.0,22870.0
Up,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,28000.0,Pete Docter,1700.0,Edward Asner,2400.0,Christopher Plummer,2300.0,Jordan Nagai,181.0,7350.0
Suicide Squad,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,95000.0,David Ayer,484.0,Will Smith,10000.0,Jaime FitzSimons,6.0,Ike Barinholtz,356.0,26477.0
The Jungle Book,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,71000.0,Jon Favreau,4100.0,Neel Sethi,205.0,Bill Murray,13000.0,Ben Kingsley,3500.0,56249.0
The Mummy: Tomb of the Dragon Emperor,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,1700.0,Rob Cohen,359.0,Brendan Fraser,3000.0,Jet Li,5000.0,Maria Bello,1500.0,14332.0
Inside Out,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,120000.0,Pete Docter,1700.0,Amy Poehler,1100.0,Phyllis Smith,385.0,Richard Kind,1800.0,11075.0
G.I. Joe: The Rise of Cobra,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,6300.0,Stephen Sommers,209.0,Adewale Akinnuoye-Agbaje,1800.0,Christopher Eccleston,1500.0,Grgory Fitoussi,353.0,39482.0
